bank_txn_id,value_date,narration,credit_paise,debit_paise,balance_paise
btxn_BzrBmhVp39fu,2026-08-03,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-HDFCN29967743956,1176300,0,126176300
btxn_hGt42jpYzzgP,2026-08-04,NEFT-ICICN60900980073-RAZORPAY SOFTWARE PVT LTD,8202,0,126184502
btxn_t8rwDBSJ6Iaf,2026-08-04,IMPS/UTIBN53632477592/RAZORPAYSOFT/,604294,0,126788796
btxn_wawEQrUVQGwq,2026-08-04,UPI/CR/ICICN15720348639/RZPY/SETTLEMENT,841200,0,127629996
btxn_jiZhILu8IaOg,2026-08-05,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-SBINN25823988694,13100,0,127643096
btxn_vOD2i16X6mn1,2026-08-05,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-SBINN60131660911,56534,0,127699630
btxn_hWNlT1AzdG8k,2026-08-06,UPI/CR/UTIBN21620485107/RZPY/SETTLEMENT,203700,0,127903330
btxn_sIfRiQKft3Eq,2026-08-06,UPI/CR/ICICN47127116655/RZPY/SETTLEMENT,362828,0,128266158
btxn_44QCu0LvWiCy,2026-08-07,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-SBINN88608364015,7486895,0,135753053
btxn_RdJWyPIJnqIp,2026-08-07,UPI/CR/KKBKN39804890463/S IYER/ORDERPAY,397300,0,136150353
btxn_ujMkV1IZQg1b,2026-08-07,NEFT-PYT4875106602-RAZORPAY SOFTWARE PVT LTD CONSOLIDATED,4562470,0,140712823
btxn_IMo0NUzYHazT,2026-08-10,NEFT-HDFCN84741401717-RAZORPAY SOFTWARE PVT LTD,1755275,0,142468098
btxn_bG6ovObTWsMl,2026-08-10,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-SBINN69883760502,1809698,0,144277796
btxn_ipS8JwuWwCVw,2026-08-10,NEFT-HDFCN10362026943-RAZORPAY SOFTWARE PVT LTD,368800,0,144646596
btxn_jhbg7kJTlpE3,2026-08-10,IMPS/UTIBN70029345743/RAZORPAYSOFT/,878500,0,145525096
btxn_GUOXWg04uqyS,2026-08-11,IMPS/ICICN65963150185/RAZORPAYSOFT/,433100,0,145958196
btxn_J7TsnpD5YxHF,2026-08-11,UPI/CR/SBINN47780343794/RZPY/SETTLEMENT,18276323,0,164234519
btxn_SyOFX8u7lbCz,2026-08-11,IMPS/SBINN93545971749/RAZORPAYSOFT/,504100,0,164738619
btxn_Rh0L8GNOsIhO,2026-08-12,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-ICICN32711185491,543855,0,165282474
btxn_axY30qPXpfm0,2026-08-12,IMPS/HDFCN15932309691/RAZORPAYSOFT/,379400,0,165661874
btxn_HFnzYfG3Lukf,2026-08-13,NEFT CR-SBIN0001234-R KUMAR-ICICN54457684631,1418300,0,167080174
btxn_XvgFue7ZXuM4,2026-08-13,IMPS/UTIBN36959841808/RAZORPAYSOFT/,582460,0,167662634
btxn_yApKETrKPlbm,2026-08-13,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-CONSOL PAYOUT PYT0446036689,3472219,0,171134853
btxn_0t6ihTI18fBE,2026-08-14,UPI/CR/SBINN48972692856/RZPY/SETTLEMENT,13989,0,171148842
btxn_or4kOOzp5B0f,2026-08-14,SBINN12241556293 RZP SETTLE,383500,0,171532342
btxn_qtKyzvlBDXHr,2026-08-14,SBINN89801737913 RZP SETTLE,75722,0,171608064
btxn_ShzGo0Hgpe2D,2026-08-17,IMPS/HDFCN85427633426/RAZORPAYSOFT/,2293184,0,173901248
btxn_EYBjp4PfXjSd,2026-08-18,UPI/CR/HDFCN86606858607/RZPY/SETTLEMENT,139820,0,174041068
btxn_Jvkui9Xwf9xW,2026-08-18,NEFT-SBINN30676903083-RAZORPAY SOFTWARE PVT LTD,253500,0,174294568
btxn_hQytIXU4lE0P,2026-08-18,NEFT-ICICN21800654576-RAZORPAY SOFTWARE PVT LTD,6639,0,174301207
btxn_rvFyP3Iuz7Be,2026-08-18,SBINN30676903083 RZP SETTLE,253400,0,174554607
btxn_slajg9NSS8Ey,2026-08-18,DISPUTE DEBIT/DSP9TZODM0R/RZPY,0,29100,174525507
btxn_9GzMdhR5p3S8,2026-08-19,UPI/CR/HDFCN54468091588/RZPY/SETTLEMENT,579819,0,175105326
btxn_UOVqtp2rC3U6,2026-08-19,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-ICICN61930364330,264214,0,175369540
btxn_Z6EWymwy431B,2026-08-19,NEFT-HDFCN05844832867-RAZORPAY SOFTWARE PVT LTD,0,0,175369540
btxn_sWJflzlqf4fq,2026-08-19,UPI/CR/KKBKN90229050580/RZPY/SETTLEMENT,5122790,0,180492330
btxn_5V3Z68mdYC6r,2026-08-20,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-SBINN95140169426,1873336,0,182365666
btxn_BapmZMloRgml,2026-08-20,UPI/CR/ICICN28701561103/RZPY/SETTLEMENT,610250,0,182975916
btxn_obQ6ivutznwR,2026-08-20,ICICN15420951246 RZP SETTLE,130043,0,183105959
btxn_v8hzMaUj4fXm,2026-08-20,DISPUTE DEBIT/DSPGPOO5KDN/RZPY,0,217828,182888131
btxn_3mq3xTsMywaw,2026-08-21,IMPS/KKBKN56475309147/RAZORPAYSOFT/,3932207,0,186820338
btxn_hkFo9kDhMp9R,2026-08-21,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-SBINN08368660147,279100,0,187099438
btxn_zOHgWjNYWFoc,2026-08-21,HDFCN98593107293 RZP SETTLE,14510415,0,201609853
btxn_AVUPpPOah9es,2026-08-24,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-UTIBN70475628755,64150,0,201674003
btxn_gTqdhewaZB0I,2026-08-24,UPI/CR/SBINN84032759640/RZPY/SETTLEMENT,1966600,0,203640603
btxn_9D3ILF2iu4vJ,2026-08-25,UPI/CR/KKBKN08562636433/PRIYA S/ORDERPAY,992900,0,204633503
btxn_9jrkWi5MBVhg,2026-08-25,NEFT-HDFCN03991797904-RAZORPAY SOFTWARE PVT LTD,38080,0,204671583
btxn_MTfWEAnorWUc,2026-08-25,ICICN04891770493 RZP SETTLE,4969234,0,209640817
btxn_PQIDiY1qZjQL,2026-08-25,UPI/CR/UTIBN81044055333/RZPY/SETTLEMENT,19733840,0,229374657
btxn_QxeGG3uq7G3r,2026-08-25,HDFCN67148282239 RZP SETTLE,915750,0,230290407
btxn_gyk5eraBknFn,2026-08-25,UTIBN99968233099 RZP SETTLE,452932,0,230743339
btxn_2slVq5zvYw0x,2026-08-27,ICICN61212085653 RZP SETTLE,39148,0,230782487
btxn_E6mkQa18xOrZ,2026-08-27,KKBKN81570814305 RZP SETTLE,94613,0,230877100
btxn_MtXrVceDgUge,2026-08-27,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-HDFCN42790228207,3079000,0,233956100
btxn_zITkdBS8yJK1,2026-08-27,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-SBINN08218947878,4936776,0,238892876
