order_id,order_date,customer_id,gross_paise,currency,intended_method,status,invoice_no
order_0VF1Oq8j9Kk7am,2026-08-03,cust_PQ4yMr8slCVt,57900,INR,wallet,paid,INV-2026-000007
order_0eOrUQU7WcCd6L,2026-08-12,cust_v8eTzdSnTpxM,188000,INR,upi,paid,INV-2026-000077
order_1cGgscrssbmWib,2026-08-02,cust_SxQcLD2qNZqd,1121500,INR,upi,paid,INV-2026-000002
order_1i1FhgIpw5PSHL,2026-08-12,cust_ySup8vbCFULU,197300,INR,upi,paid,INV-2026-000071
order_1qy9Csk9AjiJ3G,2026-08-18,cust_eIdDzuXcsqPn,128500,INR,wallet,payment_failed,INV-2026-000110
order_1s0lnk2flkzYtC,2026-08-23,cust_FkuhL5Sci3PY,1157900,INR,upi,paid,INV-2026-000139
order_1s2AbMMgxbPjou,2026-08-18,cust_AptkMJaQbvi4,34700,INR,wallet,payment_failed,INV-2026-000104
order_222qbxFYAiycE5,2026-08-06,cust_iziirdQLDvpK,327000,INR,card,paid,INV-2026-000030
order_2RwWcRiuhhQ8jY,2026-08-19,cust_SRkG2F1aDEie,20800,INR,upi,paid,INV-2026-000114
order_2YAy2Vya4XhSlj,2026-08-15,cust_mCvwL03NbahC,572600,INR,upi,paid,INV-2026-000084
order_2awbKOVEVkM2fZ,2026-08-12,cust_dZ26dxVNml42,77552,INR,card,paid,INV-2026-000073
order_2eci9mtUoAn64Y,2026-08-25,cust_Mf9TKU5GJiPz,30100,INR,upi,payment_failed,INV-2026-000160
order_3IFoIxkbcZaQrk,2026-08-22,cust_WQccevjNW4JI,166756,INR,card,paid,INV-2026-000133
order_3JoTfCxJZnTS2Z,2026-08-03,cust_eAgT9StaULHU,341600,INR,upi,paid,INV-2026-000006
order_3aJ5nZSETLh7vJ,2026-08-12,cust_VcHd8CJJ17bm,14328,INR,wallet,paid,INV-2026-000074
order_3em8uD8ZbvwYuP,2026-08-03,cust_z70r4OBIRSJG,198500,INR,upi,paid,INV-2026-000009
order_440cU9EMQeriCu,2026-08-14,cust_6GPpes9ifw92,151600,INR,upi,paid,INV-2026-000081
order_45EDEx1LYg4qKH,2026-08-30,cust_fv6SCuwUgMtV,26100,INR,wallet,paid,INV-2026-000192
order_4NC2V4Eh1yTi9j,2026-08-18,cust_JTdFOJRHjQdB,121700,INR,wallet,paid,INV-2026-000102
order_4Qtgxqlf6nqqUX,2026-08-28,cust_tqMcEpWUqr3M,1699700,INR,netbanking,paid,INV-2026-000175
order_4SjeRq9kAzY1nT,2026-08-29,cust_dgpe8QAmSFFQ,244500,INR,upi,paid,INV-2026-000183
order_4WargsIeYTZZyr,2026-08-07,cust_YkgMGNmaWfJx,62200,INR,upi,paid,INV-2026-000036
order_4WiFYHdcf0E1s5,2026-08-29,cust_VEtIoydHZJyt,198952,INR,wallet,paid,INV-2026-000186
order_5TZB5D9HLioBY5,2026-08-29,cust_P9hrAdt9nu1X,32100,INR,upi,paid,INV-2026-000181
order_5k4Fr2KetTdp9F,2026-08-06,cust_X1w8gvQd5WAi,19700,INR,upi,payment_failed,INV-2026-000031
order_626rD3AWzShYn3,2026-08-19,cust_lsjbxNmVtYUn,4912200,INR,netbanking,paid,INV-2026-000119
order_646ECWTC8qRTxY,2026-08-07,cust_KFQLN4LC3zXX,26900,INR,upi,paid,INV-2026-000042
order_6OBZZH67alDVCO,2026-08-25,cust_QpP7EDojiBLP,1474100,INR,upi,paid,INV-2026-000162
order_6ejch2OHtCcnVY,2026-08-28,cust_FvvJNl90BO97,3530400,USD,card,paid,INV-2026-000177
order_6rKsBLDudk5SMN,2026-08-29,cust_3S6BDmvOL1nr,2634300,INR,netbanking,paid,INV-2026-000180
order_70e8XRB7Hjtxvt,2026-08-10,cust_eca5XgzcCIXn,449000,INR,rupay_debit,paid,INV-2026-000062
order_7BlQ39MtZe3p9b,2026-08-17,cust_22JNZy7LiVEh,38000,INR,wallet,paid,INV-2026-000094
order_7Ol5Pmv7pT5Kmf,2026-08-24,cust_OErOcSYzUSbb,19500,INR,upi,pending,INV-2026-000147
order_7R6tZalZJN4QFP,2026-08-25,cust_7sG1w3ZAWsTa,58600,INR,upi,paid,INV-2026-000159
order_8Dg7eUQNuMSKiC,2026-08-25,cust_dBzTCXNikq4B,37000,INR,upi,paid,INV-2026-000155
order_8bWuPkuYW0CW3E,2026-08-25,cust_iDSOmzh6aeCR,74200,INR,upi,paid,INV-2026-000158
order_91MJzp3slAqhRC,2026-08-29,cust_UJnhGbtkzj0y,1388600,INR,upi,paid,INV-2026-000189
order_9SQh4m7fP6xDgM,2026-08-26,cust_kZmeo1RuR5w8,258000,INR,netbanking,paid,INV-2026-000165
order_9tlLGMAw0tcnKQ,2026-08-21,cust_bXe4KU8mJBax,18900,INR,upi,paid,INV-2026-000130
order_9upe83hks9856K,2026-08-05,cust_Tf1baMzY4bEX,194700,INR,card,paid,INV-2026-000018
order_An6LrPtIKcIFhE,2026-08-29,cust_mCeFlgtapxMl,11500,INR,upi,paid,INV-2026-000185
order_BRSFWqqSu398GE,2026-08-17,cust_VrP7rOKhZLgN,23800,INR,upi,paid,INV-2026-000093
order_BzVFboPeM6fCip,2026-08-03,cust_CR2GOdr9C9DZ,159600,INR,upi,paid,INV-2026-000008
order_C0OHmwA2h3xULT,2026-08-11,cust_P8ZigS5sTZYn,12500,INR,upi,paid,INV-2026-000064
order_C76zygv9hkCoRg,2026-08-06,cust_Dgpp5Hkfdalk,760800,INR,card,paid,INV-2026-000028
order_CKooAsJ2w2LgDL,2026-08-18,cust_JEfONrARDeTT,1120300,INR,rupay_debit,paid,INV-2026-000101
order_CSYQxuzia9FVZn,2026-08-21,cust_pICZQnFOq5EN,3311600,INR,card,paid,INV-2026-000128
order_CXQ0z1ttsaiO7Q,2026-08-17,cust_IkoeRLGrq8li,73900,INR,upi,payment_failed,INV-2026-000099
order_CYB9pOx99U1HS5,2026-08-12,cust_IDLbm3pXeSIt,92400,INR,rupay_debit,paid,INV-2026-000076
order_CsqSHRPR0UmdS9,2026-08-12,cust_jNcWj1wUHWpb,136400,INR,rupay_debit,paid,INV-2026-000078
order_DcI3r9WhJviZLW,2026-08-08,cust_rdFwo6XiDOln,160800,INR,rupay_debit,paid,INV-2026-000045
order_EI4xFIZDp53jwb,2026-08-27,cust_SCjeTktu6nBY,20300,INR,wallet,payment_failed,INV-2026-000170
order_FREykGF1LpVlie,2026-08-02,cust_N0JZ6kWX304Z,618900,INR,card,paid,INV-2026-000004
order_FUIC2YcnQbghxF,2026-08-17,cust_3Neu3aa0XQpf,78700,INR,card,paid,INV-2026-000091
order_G22v1Z5c4so5pZ,2026-08-28,cust_OD6RTpEIKfCQ,48600,INR,upi,paid,INV-2026-000179
order_G5fnRt5Tg8P07A,2026-08-09,cust_fNPa43sjZCJF,1493000,INR,card,paid,INV-2026-000055
order_GbwVWNhqrIyfDA,2026-08-25,cust_E7g7DOP4aQAo,1254800,INR,netbanking,paid,INV-2026-000157
order_H1fOp5LjV0nl1Y,2026-08-18,cust_FHHbtWClfUGp,1916300,INR,netbanking,paid,INV-2026-000107
order_HLjHgMt3yLYx4N,2026-08-28,cust_tZJLyZfWMwEb,992200,INR,card,paid,INV-2026-000171
order_HXLAxnc6P8z0Bh,2026-08-24,cust_7iWiE23xCobr,96900,INR,wallet,paid,INV-2026-000146
order_JrLG6znwQ9v5lh,2026-08-20,cust_fZPKVJ1f5GIf,18300,INR,upi,paid,INV-2026-000126
order_L97P3wUOec6ih2,2026-08-06,cust_n8MzbjirEqC1,225500,INR,upi,paid,INV-2026-000035
order_LKx1NOQjp5vYI8,2026-08-31,cust_DqjqeSINFnGW,146200,INR,upi,paid,INV-2026-000199
order_LSehLoImZrd5Xp,2026-08-05,cust_B2xX03EqtU9o,7658600,INR,netbanking,paid,INV-2026-000019
order_LgxREiyk5EMmrq,2026-08-08,cust_MPZF3iYAY2n2,44600,INR,upi,pending,INV-2026-000051
order_LhB8Co2T1LOuWe,2026-08-23,cust_2dqoW6CKHv9j,1786400,INR,card,paid,INV-2026-000145
order_LsLJSD32hRlI1H,2026-08-05,cust_c1XQXe9ghvBe,522900,INR,card,paid,INV-2026-000020
order_M7zgFf28JetJgj,2026-08-20,cust_1JDlVeneyuOi,56300,INR,upi,paid,INV-2026-000122
order_MQUWibIAlG9aau,2026-08-09,cust_vxdX9GeaHUcL,75500,INR,upi,paid,INV-2026-000058
order_MRVIC7g3qW9TGP,2026-08-17,cust_ThZOTuSoRl1O,691300,INR,upi,payment_failed,INV-2026-000096
order_MYJmaF38JDnmZa,2026-08-05,cust_NTCcimeR47Pv,64600,INR,upi,paid,INV-2026-000021
order_McmO9BMxcdpM2h,2026-08-20,cust_zhrgd8e2cdog,18900,INR,wallet,paid,INV-2026-000123
order_N2gOpWnSPwjw85,2026-08-17,cust_Dw4N6vyYyup6,5141793,INR,card,paid,INV-2026-000089
order_NGgFJ9hvw664d4,2026-08-30,cust_vB3BEKE9K7Yo,7581900,INR,netbanking,paid,INV-2026-000194
order_NdywDCX8uHXc1i,2026-08-08,cust_AWLPlJtutNV4,27600,INR,upi,paid,INV-2026-000049
order_NvqkxrTFBByOzi,2026-08-07,cust_6awJC76kqAIw,164600,INR,card,paid,INV-2026-000038
order_OB0lSLMWFUs04K,2026-08-19,cust_FdTUyzW8Ej8i,453000,INR,netbanking,paid,INV-2026-000116
order_ObbCBERFfhdzRc,2026-08-06,cust_kO31I130YQe0,20500,INR,upi,paid,INV-2026-000032
order_OgLNTsFT07ObgZ,2026-08-29,cust_TtzCufvfXLLr,143500,INR,upi,paid,INV-2026-000188
order_OzMuXkfc6MJ5No,2026-08-26,cust_Zh7unAUz6lR1,117800,INR,card,paid,INV-2026-000166
order_PO8KmEdbAtcJD1,2026-08-09,cust_aBzCpwaPMnsT,22100,INR,upi,paid,INV-2026-000056
order_PfkJNpnlOniB0s,2026-08-17,cust_a3jshQDwjHmL,45800,INR,wallet,paid,INV-2026-000100
order_PkFkat7naqZCiz,2026-08-10,cust_780MJMlwVanG,275600,INR,upi,paid,INV-2026-000063
order_PkyYoufRwvQkTe,2026-08-06,cust_OnEIo6IN8Kxr,1668100,INR,netbanking,paid,INV-2026-000023
order_PzS2RXnEc9gz9m,2026-08-29,cust_RfpwoMUT4VIs,51026,INR,upi,paid,INV-2026-000187
order_QnFSPz2J0ipog6,2026-08-08,cust_fHMBxa0cplnd,161800,INR,upi,paid,INV-2026-000048
order_QwSqMWLBJXWPgg,2026-08-28,cust_EsJE9qgFqMY9,290400,INR,upi,paid,INV-2026-000174
order_RFqemb5eprjjlv,2026-08-04,cust_mvSvtys1Zi2d,56700,INR,upi,paid,INV-2026-000010
order_RU3GEknaeNElFa,2026-08-14,cust_YsNtOKWeqsVH,997800,INR,upi,paid,INV-2026-000083
order_Scohm4SptGFX1n,2026-08-10,cust_0ak0PxVuKK8j,557000,INR,card,paid,INV-2026-000059
order_TdPnEWSIDY1JYK,2026-08-23,cust_w52rWyBPeEe9,39000,INR,wallet,paid,INV-2026-000142
order_Tk7W5nd07xRhoF,2026-08-13,cust_NdbCBLqRJnul,232200,INR,upi,paid,INV-2026-000079
order_U1oint0NvQM9MA,2026-08-24,cust_hwXZ5j2rsJeH,67500,INR,upi,paid,INV-2026-000151
order_Uhexr3cwJSPsFz,2026-08-19,cust_iQsYzA2PAyhZ,9478000,INR,netbanking,paid,INV-2026-000115
order_VHwpipzbYdUiNM,2026-08-11,cust_h11SfiAPZqxj,214100,INR,upi,paid,INV-2026-000066
order_VTtyS0EYEdWs21,2026-08-24,cust_i9bklFQeoHnl,475532,INR,rupay_debit,paid,INV-2026-000153
order_VbEJ8imejLAN44,2026-08-18,cust_ExnaiHvSyvlN,86509,INR,upi,paid,INV-2026-000106
order_VlZIse5Ad6oTGu,2026-08-05,cust_j761D3TZubQo,217828,INR,upi,paid,INV-2026-000014
order_VyOqad40n6SYLT,2026-08-16,cust_l4nI91fNkwOL,295300,INR,upi,paid,INV-2026-000087
order_W3FhDFJe7sC6bT,2026-08-08,cust_lhWlL5ErgrsH,28500,INR,upi,paid,INV-2026-000047
order_Waj2ZwYyxMpGFX,2026-08-26,cust_ArZWRY0RtKGq,71500,INR,upi,paid,INV-2026-000169
order_XDjSaXwEc7Kfwz,2026-08-26,cust_QsvgVqJ8s1Xu,2754700,INR,card,paid,INV-2026-000167
order_Y2fCSsU1AB614K,2026-08-29,cust_rFcAoEmuPo3Z,490600,INR,card,payment_failed,INV-2026-000182
order_YI9iqkY2EMtxTe,2026-08-30,cust_GMNHC57CxIj4,193700,INR,upi,paid,INV-2026-000193
order_Z3h8owAMhYBK2y,2026-08-21,cust_aKW8evVwvJRI,426800,INR,upi,paid,INV-2026-000127
