payment_id,order_id,captured_at,method,international,gross_paise,fee_paise,gst_paise,net_paise,status,settlement_id,refund_id,refund_paise
pay_03ceBNImvJTMh9,order_N2gOpWnSPwjw85,2026-08-17T21:09:00,card,False,5141793,102836,18510,5020447,captured,setl_GsiuZr77XOnN7I,,0
pay_04UQ7FIW8Nf2Wn,order_xq5oPo9ZFFDEj0,,netbanking,False,212600,0,0,0,failed,,,0
pay_08cIQ50qxyFd8A,order_cT9azaSBRr0Tyz,2026-08-05T15:41:00,wallet,False,10700,214,39,10447,captured,setl_RgPomY0hxFBzw9,,0
pay_0WEfDZRH3fmMoT,order_GbwVWNhqrIyfDA,2026-08-25T11:03:00,netbanking,False,1254800,23841,4291,1226668,captured,setl_M7gkeAcMBxTMW0,,0
pay_0eLVqTjioq8KVl,order_5k4Fr2KetTdp9F,,upi,False,19700,0,0,0,failed,,,0
pay_0uF00pOGjnbmUS,order_pdsBX4U9vlQEo3,2026-08-08T12:05:00,upi,False,61100,0,0,0,authorized,,,0
pay_0uFiBzG8d9Z47i,order_ZV6gJ2CNWddaV7,2026-08-23T12:53:00,netbanking,False,3127200,59417,10695,3057088,captured,setl_bM92adaccM5Vuy,,0
pay_11q5aepUyBnJmp,order_lCOJnNHc5QZfGT,2026-08-06T10:59:00,upi,False,309400,0,0,309400,captured,setl_EdZ7XptdbRQNPS,,0
pay_177KPYYlI54HWO,order_OzMuXkfc6MJ5No,2026-08-26T16:56:00,card,False,117800,2356,424,115020,captured,setl_e1ExkcCzv5Bh8l,,0
pay_1FJpU1SAuFbmrO,order_2RwWcRiuhhQ8jY,2026-08-19T12:23:00,upi,False,20800,0,0,20800,captured,setl_Hguc58YLFEsULi,,0
pay_3FiTrRd3xo3QDO,order_Zd5IG5RunU55IQ,2026-08-03T12:28:00,upi,False,141500,0,0,141500,captured,setl_UxHInzNavkQObD,,0
pay_3IK7HyUvKfFsy9,order_knUaAn1UYHGG51,2026-08-04T13:37:00,netbanking,False,7453300,141613,25490,7286197,captured,setl_FD8so57Rshb2mj,,0
pay_458kDCri3tXoXa,order_tTf2qLlvmcNXt2,2026-08-09T19:48:00,card,False,2707700,54154,9748,2643798,captured,setl_hiSUotqWr1EFET,,0
pay_4HaF9v4uxwKPVh,order_MQUWibIAlG9aau,2026-08-09T15:28:00,upi,False,75500,0,0,75500,captured,setl_Y3MfcCpw08Rkx3,,0
pay_4V77QWOFKbTpEW,order_4WiFYHdcf0E1s5,2026-08-29T12:33:00,wallet,False,198952,3979,716,194257,captured,setl_BrhkijFXzINSa9,,0
pay_4lpdYy2oB7NSmh,order_3em8uD8ZbvwYuP,2026-08-03T10:31:00,upi,False,198500,0,0,198500,captured,setl_UxHInzNavkQObD,,0
pay_4nvYO44clXQggD,order_mLtnABLgfK7Sce,2026-08-18T22:35:00,upi,False,73700,0,0,73700,captured,setl_ZT76A8FOzt96vh,,0
pay_5Kur7rVDwGDJwj,order_0VF1Oq8j9Kk7am,2026-08-03T22:00:00,wallet,False,57900,1158,208,56534,captured,setl_9tp3CvFJCxTB1s,,0
pay_5ZwCSHU9k0nfuM,order_CSYQxuzia9FVZn,2026-08-21T16:03:00,card,False,3311600,66232,11922,3233446,captured,setl_obuThoBpZlMaHQ,,0
pay_5cCSIEMgctGaHo,order_b4mmiQl6Qkb5hI,2026-08-24T11:26:00,upi,False,34800,0,0,34800,captured,setl_ZcE8RtDQlAvOuI,,0
pay_648ehZT50yQuql,order_c0dDAaTfSBXWyN,,card,False,652600,0,0,0,failed,,,0
pay_64VNJQpVCSH07Z,order_lljJEcRJ6vxPU6,,card,False,210200,0,0,0,failed,,,0
pay_67hhn2InW8NXzb,order_PkFkat7naqZCiz,2026-08-10T12:17:00,upi,False,275600,0,0,275600,captured,setl_FInLvbMDGvzm8C,,0
pay_6WjlUevL0yW1Vq,order_ZSqTCGizviCNui,2026-08-17T12:23:00,wallet,False,186800,3736,672,182392,captured,setl_tVYAjraYV7RznK,,0
pay_6aEZX1IVkgUurt,order_xqdpq16gxQNbdp,2026-08-17T22:15:00,upi,False,52900,0,0,52900,captured,setl_khI2WEOWhIfy1Y,,0
pay_779Ed2jQJ2y5Vk,order_cS11sXdnltMzd3,2026-08-22T15:23:00,card,False,6196600,123932,22308,6050360,captured,setl_obuThoBpZlMaHQ,,0
pay_7CfU6Z4kjdHHVQ,order_vYzr3dmKCqiac9,2026-08-06T22:02:00,card,False,756500,15130,2723,738647,captured,setl_atYK89mEZEQpT1,,0
pay_7ToTI31nhNBRBy,order_s5h1wAFJTXrHpw,2026-08-11T15:53:00,card,False,168164,3363,605,164196,captured,setl_I964cvBdHc1Q4e,,0
pay_7YboWAAqq8lLD1,order_uOxeMjBoF5iDDT,2026-08-20T18:26:00,wallet,False,46800,936,168,45696,captured,setl_MvbrtGCqTtuNF0,,0
pay_7vVkwk1HFSLunb,order_PzS2RXnEc9gz9m,2026-08-29T19:24:00,upi,False,51026,0,0,51026,captured,,,0
pay_8PYHjwelbacpJK,order_t7sBn9fP4sNo3Y,2026-08-28T17:05:00,rupay_debit,False,378300,0,0,378300,captured,setl_g3LLIcMM4g3UM0,,0
pay_8RFP8FBm8uzW1b,order_MRVIC7g3qW9TGP,,upi,False,691300,0,0,0,failed,,,0
pay_8ljqfjVFvBGk9F,order_RFqemb5eprjjlv,2026-08-04T22:09:00,upi,False,56700,0,0,56700,captured,setl_8LoyOsGF92vhLu,,0
