settlement_id,settled_at,utr,num_payments,gross_paise,fee_paise,gst_paise,adjustment_paise,net_paise
setl_0NMkmxBhytQzNW,2026-08-06,ICICN47127116655,3,362828,0,0,0,362828
setl_2GtbvmLXF1Flhp,2026-08-14,SBINN12241556293,2,432500,0,0,-49000,383500
setl_4HSqDZHvYmBI4A,2026-08-10,SBINN69883760502,2,1873400,35595,6407,-21700,1809698
setl_4NHQeurUMLUdZU,2026-08-27,SBINN08218947878,1,5056100,101122,18202,0,4936776
setl_8EzsIjvNEqHCOH,2026-08-07,KKBKN23286417256,3,2277295,45546,8198,0,2033446
setl_8LoyOsGF92vhLu,2026-08-05,SBINN25823988694,1,56700,0,0,-43600,13100
setl_9tp3CvFJCxTB1s,2026-08-05,SBINN60131660911,1,57900,1158,208,0,56534
setl_AqvJ2zeC6zcgEy,2026-08-13,KKBKN25697394853,1,92400,0,0,0,92400
setl_BFvqjwnUCfrSLT,2026-08-25,HDFCN03991797904,1,39000,780,140,0,38080
setl_BrhkijFXzINSa9,2026-09-01,KKBKN91544471653,2,225052,4501,810,0,219741
setl_CDCePzhuDTIS1Z,2026-08-07,SBINN87907754452,1,443100,0,0,0,443100
setl_CkSEmp6HIyQYQt,2026-08-27,ICICN61212085653,1,39148,0,0,0,39148
setl_DY6gJyeEiUKdUV,2026-09-01,ICICN25086114468,3,468970,0,0,0,468970
setl_DxIUaLPjvGKHD8,2026-08-13,UTIBN36959841808,4,592660,0,0,-10200,582460
setl_EdZ7XptdbRQNPS,2026-08-07,KKBKN95954537976,7,2100210,0,0,-28500,2071710
setl_FD8so57Rshb2mj,2026-08-06,SBINN42973656751,1,7453300,141613,25490,0,7286197
setl_FInLvbMDGvzm8C,2026-08-11,ICICN65963150185,2,433100,0,0,0,433100
setl_FLFrNh3I3X8A79,2026-08-14,SBINN89801737913,1,77552,1551,279,0,75722
setl_GsiuZr77XOnN7I,2026-08-19,KKBKN90229050580,2,5220493,104410,18793,25500,5122790
setl_HXSoIA72aYpe6t,2026-08-20,ICICN28701561103,2,625000,12500,2250,0,610250
setl_Hguc58YLFEsULi,2026-08-20,ICICN15420951246,4,130043,0,0,0,130043
setl_I964cvBdHc1Q4e,2026-08-13,SBINN65809163971,2,3637174,107433,18881,0,3510403
setl_IxUcUPUVJrnLSZ,2026-09-02,SBINN54581245015,1,2375800,45140,8125,-22100,2300435
setl_L5qp1pTf9snB38,2026-08-31,SBINN72495552246,2,4522600,125756,22636,0,4374210
setl_LnCargH2cPPcg4,2026-08-31,HDFCN86893794967,1,249400,4988,898,0,243514
setl_LnV4y2jS2ZtS2k,2026-08-11,SBINN93545971749,2,483600,0,0,20500,504100
setl_LrrBAW4nNMMXTf,2026-09-02,SBINN88068364015,1,7658600,145513,26192,0,7486895
setl_M7gkeAcMBxTMW0,2026-08-28,ICICN60361725745,2,1512800,28743,5173,0,1478884
setl_MEc05xqAuGiQ5o,2026-09-01,UTIBN38198093291,2,10216200,194108,34939,0,9987153
setl_MvbrtGCqTtuNF0,2026-08-24,UTIBN70475628755,2,65700,1314,236,0,64150
setl_PmWWAxalZ69Pey,2026-08-12,ICICN32711185491,1,557000,11140,2005,0,543855
setl_QHelNGrAfNpm6i,2026-08-17,HDFCN85427633426,5,2293183,0,0,0,2293184
setl_RgPomY0hxFBzw9,2026-08-07,SBINN90552454669,1,10700,214,39,0,10447
setl_TCjCMUYS2cgUw7,2026-08-31,UTIBN99157485272,1,267300,0,0,7500,274800
setl_UGhpzAOBoqIOI8,2026-08-31,ICICN17496796030,8,2076926,0,0,0,2076926
setl_UxHInzNavkQObD,2026-08-04,ICICN15720348639,4,841200,0,0,0,841200
setl_VWrKB6LpV3nvLb,2026-08-03,HDFCN29967743956,2,1176300,0,0,0,1176300
setl_VbtWk4w2ZSebeS,2026-09-02,ICICN76614582508,1,633500,12670,2281,0,618549
setl_WUE94O6DcYLRgr,2026-08-24,SBINN84032759640,6,2073300,0,0,0,1966600
setl_Wr0YEsVUFtaozU,2026-08-14,SBINN48972692856,1,14328,287,52,0,13989
setl_Y3MfcCpw08Rkx3,2026-08-10,UTIBN70029345743,13,878500,0,0,0,878500
setl_Yv6pwcjsZc8vE9,2026-08-19,HDFCN05844832867,1,1120300,0,0,0,0
setl_ZT76A8FOzt96vh,2026-08-19,HDFCN54468091588,5,579819,0,0,0,579819
setl_ZcE8RtDQlAvOuI,2026-08-25,HDFCN67148282239,5,915750,0,0,0,915750
setl_ZyE1vvtDUN0P4s,2026-08-06,UTIBN21620485107,1,203700,0,0,0,203700
setl_ajnwbMTAKX6GYx,2026-08-21,HDFCN98593107293,3,14843200,282021,50764,0,14510415
setl_atYK89mEZEQpT1,2026-08-10,HDFCN84741401717,3,1844300,36886,6639,-45500,1755275
setl_bM92adaccM5Vuy,2026-08-25,ICICN04891770493,2,5083200,96581,17385,0,4969234
setl_d0pxD013eJfLlX,2026-08-31,SBINN51365044471,2,1930800,36685,6603,0,1887512
setl_djyrofTxLrUnhM,2026-08-21,SBINN08368660147,4,279100,0,0,0,279100
setl_e1ExkcCzv5Bh8l,2026-08-28,SBINN41658789731,2,2872500,57450,10341,0,2804709
setl_eMf42AI4clEyN4,2026-08-04,UTIBN53632477592,1,618900,12378,2228,0,604294
setl_fFlVr3pkss1wEn,2026-08-10,HDFCN10362026943,3,368800,0,0,0,368800
setl_g3LLIcMM4g3UM0,2026-08-29,KKBKN22337435949,1,378300,0,0,-43600,334700
setl_gsBLODUaoyqVTL,2026-08-04,ICICN60900980073,1,8400,168,30,0,8202
setl_hiSUotqWr1EFET,2026-08-11,SBINN47780343794,5,18884900,515742,92835,0,18276323
setl_hsKpdOtyUfAiT6,2026-08-27,KKBKN81570814305,1,96900,1938,349,0,94613
setl_kfcFOC9SUqcBsg,2026-09-01,UTIBN68777077838,1,455600,9112,1640,0,444848
setl_khI2WEOWhIfy1Y,2026-08-18,SBINN30676903083,4,506900,0,0,0,506900
setl_nv3RFT3XxoF34G,2026-08-18,HDFCN86606858607,1,143200,2864,516,0,139820
setl_nwxDDhE5bej4hR,2026-08-29,UTIBN26006414176,2,339000,0,0,0,339000
setl_obuThoBpZlMaHQ,2026-09-01,UTIBN81044055333,9,20212155,404243,74072,0,19733840
setl_rCGkSC9vA5IXnq,2026-08-18,ICICN21800654576,1,6799,136,24,0,6639
setl_s305hPf1mFh6ug,2026-09-02,KKBKN15750222234,1,445096,8902,1602,0,434592
setl_sGQ9iwSPm9n9Mi,2026-08-12,HDFCN15932309691,3,379400,0,0,0,379400
setl_sJ4w7QhgE77epF,2026-08-21,KKBKN56475309147,1,4027250,80545,14498,0,3932207
setl_sffCoHbN6WAOrQ,2026-08-20,SBINN95140169426,1,1916300,36410,6554,0,1873336
setl_tVYAjraYV7RznK,2026-08-19,ICICN61930364330,3,270600,5412,974,0,264214
setl_vHJg40ELcR5Wy2,2026-08-25,UTIBN99968233099,1,475532,0,0,-22600,452932
setl_vUm10To41rSpql,2026-08-20,SBINN16109417746,1,828400,16568,2982,0,808850
setl_z4HZt6gN7jgb96,2026-09-02,HDFCN42790228207,8,3079000,0,0,0,3079000
